county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
howard,IN,0.847,0.705,1.506,762285,31.366
huntington,IN,0.862,0.427,1.702,272734,26.364
jackson,IN,0.856,0.401,1.847,580303,109.796
jasper,IN,0.811,0.135,1.697,396682,84.971
jay,IN,0.784,0.264,2.091,160667,36.293
jefferson,IN,0.83,0.444,1.792,624184,51.741
jennings,IN,0.746,0.183,1.86,567277,53.079
johnson,IN,0.899,0.827,1.377,2570471,4.325
knox,IN,0.819,0.461,2.363,900314,57.485
kosciusko,IN,0.714,0.485,1.656,386018,40.413
lagrange,IN,0.72,0.0,1.991,361466,57.279
lake,IN,0.866,0.938,1.472,5818774,109.224
laporte,IN,0.813,0.563,1.643,1413025,40.227
lawrence,IN,0.827,0.274,1.792,879548,81.89
madison,IN,0.824,0.698,1.827,2669182,32.111
marion,IN,0.886,0.985,1.397,15908900,1.993
marshall,IN,0.779,0.192,1.744,345284,34.316
martin,IN,0.724,0.0,2.233,245480,180.747
miami,IN,0.797,0.422,1.965,348362,45.113
monroe,IN,0.725,0.643,1.611,2976698,79.768
montgomery,IN,0.85,0.379,1.738,639759,67.224
morgan,IN,0.85,0.398,1.64,822546,34.548
newton,IN,0.711,0.0,1.677,275751,70.166
noble,IN,0.791,0.174,1.57,283589,41.721
ohio,IN,0.761,0.0,1.434,83255,47.28
orange,IN,0.67,0.0,2.866,1843109,175.621
owen,IN,0.689,0.0,1.81,597784,49.884
parke,IN,0.69,0.007,2.904,857301,61.909
perry,IN,0.619,0.328,1.92,456414,50.402
pike,IN,0.689,0.0,2.737,963463,77.662
porter,IN,0.895,0.716,1.445,1027694,6946.219
posey,IN,0.838,0.243,1.96,740760,60.409
pulaski,IN,0.69,0.0,3.0,231062,194.958
putnam,IN,0.772,0.18,1.859,891152,51.569
randolph,IN,0.792,0.278,1.909,527139,46.751
ripley,IN,0.768,0.149,1.578,266688,46.818
rush,IN,0.746,0.309,1.967,108558,47.588
scott,IN,0.818,0.257,1.852,697647,73.273
shelby,IN,0.825,0.392,1.924,1506032,46.756
spencer,IN,0.657,0.0,2.298,982935,52.181
st-joseph,IN,0.872,0.875,1.428,1656069,25.693
starke,IN,0.725,0.0,1.805,224864,42.183
steuben,IN,0.627,0.29,2.207,198627,34.421
sullivan,IN,0.726,0.191,2.17,319958,127.601
switzerland,IN,0.637,0.0,1.761,188937,42.813
tippecanoe,IN,0.862,0.751,1.812,3968899,43.867
tipton,IN,0.764,0.315,1.904,142197,49.863
union,IN,0.543,0.0,1.601,26884,43.892
vanderburgh,IN,0.868,0.894,1.421,704340,15.222
vermillion,IN,0.752,0.323,1.839,332262,65.43
vigo,IN,0.822,0.68,1.821,711960,33.555
wabash,IN,0.837,0.437,1.639,154792,48.046
warren,IN,0.671,0.0,2.534,235638,213.744
warrick,IN,0.87,0.675,1.732,2620382,61.484
washington,IN,0.809,0.185,1.735,268403,41.868
wayne,IN,0.858,0.555,1.645,1370486,37.937
wells,IN,0.805,0.302,1.71,159837,38.991
white,IN,0.642,0.408,1.885,375667,74.29
whitley,IN,0.871,0.262,1.543,92138,40.789
allen,KS,0.743,0.38,2.151,77107,148.56
anderson,KS,0.686,0.0,2.076,48438,111.221
atchison,KS,0.816,0.526,1.832,45323,57.84
barber,KS,0.612,0.0,2.699,54569,370.822
barton,KS,0.796,0.464,1.932,185373,153.21
bourbon,KS,0.693,0.389,2.09,82284,140.919
brown,KS,0.72,0.0,2.185,81788,135.597
butler,KS,0.844,0.472,1.587,350582,136.084
chase,KS,0.513,0.0,2.756,130726,237.133
chautauqua,KS,0.527,0.0,2.615,48914,761.602
cherokee,KS,0.74,0.0,1.958,123140,138.108
cheyenne,KS,0.564,0.0,2.726,32261,374.87
clark,KS,0.512,0.0,2.922,87117,408.965
clay,KS,0.748,0.418,2.146,45903,149.707
cloud,KS,0.704,0.405,2.356,103681,174.371
coffey,KS,0.729,0.0,2.254,59038,171.393
comanche,KS,0.563,0.0,3.246,36776,422.468
cowley,KS,0.806,0.571,1.745,124307,126.621
crawford,KS,0.0,0.464,2.159,136971,38.142
decatur,KS,0.599,0.0,2.679,31975,253.49
dickinson,KS,0.78,0.288,1.839,56356,139.372
doniphan,KS,0.679,0.233,2.619,44840,179.162
