county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
hernando,FL,0.693,0.714,1.164,116777,502.765
highlands,FL,0.395,0.649,1.324,112847,224.821
hillsborough,FL,0.78,0.947,1.139,526259,128.037
holmes,FL,0.662,0.0,1.4,14735,207.169
indian-river,FL,0.703,0.921,1.13,93516,364.083
jackson,FL,0.479,0.086,1.384,42618,120.716
jefferson,FL,0.579,0.0,1.495,12845,607.34
lafayette,FL,0.558,0.0,1.538,7398,18842.047
lake,FL,,0.743,1.203,200086,418.62
lee,FL,0.511,0.916,1.133,557372,19.154
leon,FL,0.712,0.809,1.158,111502,460.431
levy,FL,0.473,0.0,1.314,48338,660.292
liberty,FL,0.615,0.0,1.607,6332,57247.361
madison,FL,0.514,0.0,1.421,16367,1055.033
manatee,FL,,0.906,1.198,212474,216.5
marion,FL,0.568,0.594,1.171,282554,501.875
martin,FL,0.728,0.904,1.233,95979,211.371
miami-dade,FL,0.725,0.985,1.151,931522,14043.478
monroe,FL,0.469,0.811,1.767,89381,93286.781
nassau,FL,0.769,0.58,1.227,59074,712.533
okaloosa,FL,0.659,0.857,1.168,112346,534.618
okeechobee,FL,0.451,0.452,1.239,31646,568.513
orange,FL,0.735,0.939,1.166,490588,82.882
osceola,FL,,0.825,1.26,201901,535.861
palm-beach,FL,0.741,0.982,1.149,680064,475.005
pasco,FL,,0.893,1.219,299426,449.531
pinellas,FL,0.726,0.997,1.091,436015,149.611
polk,FL,0.611,0.729,1.231,412236,503.262
putnam,FL,,0.115,1.413,97828,158.142
santa-rosa,FL,,0.732,1.209,107896,1164.216
sarasota,FL,0.606,0.937,1.127,303112,50.45
seminole,FL,,0.954,1.153,179484,30.384
st-johns,FL,,0.777,1.564,216897,168.126
st-lucie,FL,,0.933,1.189,182479,145.728
sumter,FL,0.69,0.724,1.106,92381,383.24
suwannee,FL,0.586,0.103,1.272,31831,66.546
taylor,FL,0.52,0.22,1.343,18783,23803.115
union,FL,0.001,0.0,1.491,7178,3097.657
volusia,FL,0.688,0.841,1.174,309008,299.383
wakulla,FL,,0.247,1.275,25920,11221.69
walton,FL,0.423,0.534,1.262,90356,402.022
washington,FL,0.366,0.0,1.785,43567,3549.655
appling,GA,0.669,0.239,1.255,12812,49.153
atkinson,GA,0.683,0.0,1.547,5415,309.422
bacon,GA,0.766,0.0,1.331,6553,64.661
baker,GA,0.547,0.0,1.366,2609,258.605
baldwin,GA,0.71,0.38,1.239,21755,17.999
banks,GA,0.679,0.038,1.292,10704,32.754
barrow,GA,0.818,0.637,1.134,36724,8.522
bartow,GA,0.758,0.544,1.202,49384,17.715
ben-hill,GA,0.785,0.559,1.461,11599,70.948
berrien,GA,0.739,0.22,1.414,11532,98.428
bibb,GA,0.607,0.827,1.204,69483,10.453
bleckley,GA,0.745,0.378,1.279,7253,72.304
brantley,GA,0.638,0.004,1.426,13202,240.011
brooks,GA,0.538,0.0,1.336,10621,136.958
bryan,GA,0.964,0.425,1.151,21135,31.818
bulloch,GA,0.669,0.342,1.298,33923,33.71
burke,GA,0.631,0.152,1.398,17213,119.398
butts,GA,0.755,0.196,1.293,13379,35.31
calhoun,GA,0.591,0.0,1.342,3459,176.419
camden,GA,0.651,0.534,1.277,33226,72.116
candler,GA,0.708,0.0,1.466,7053,86.215
carroll,GA,0.748,0.371,1.228,54937,18.61
catoosa,GA,0.835,0.744,1.161,29417,9.317
charlton,GA,0.67,0.0,1.288,7445,258.987
chatham,GA,0.703,0.955,1.179,122833,12.27
chattahoochee,GA,0.678,0.0,1.421,1787,56.624
chattooga,GA,0.747,0.305,1.29,14443,71.887
cherokee,GA,0.822,0.771,1.131,113816,29.588
clarke,GA,0.649,0.903,1.276,42675,10.764
clay,GA,0.446,0.0,1.299,3062,163.851
clayton,GA,0.673,0.991,1.095,91177,7.237
clinch,GA,,0.0,1.404,4365,1992.688
cobb,GA,0.81,1.0,1.13,276634,6.141
coffee,GA,0.587,0.307,1.295,21242,46.839
colquitt,GA,,0.382,1.361,23707,49.739
columbia,GA,0.822,0.816,1.146,67711,20.756
cook,GA,0.721,0.35,1.473,10450,51.247
coweta,GA,0.803,0.482,1.151,63407,15.689
crawford,GA,0.648,0.0,1.286,8119,72.359
crisp,GA,0.663,0.435,1.341,12417,41.739
dade,GA,0.704,0.009,1.353,10324,109.533
dawson,GA,0.754,0.276,1.221,17493,34.624
decatur,GA,0.574,0.368,1.422,18989,81.435
dekalb,GA,0.774,0.997,1.087,244751,3.836
dodge,GA,0.686,0.249,1.298,12449,62.414
dooly,GA,0.833,0.0,1.358,7296,149.579
dougherty,GA,0.561,0.793,1.264,38030,42.532
douglas,GA,0.745,0.806,1.135,54658,7.873
early,GA,0.644,0.0,1.437,8727,114.98
echols,GA,0.676,0.0,1.353,2148,494.722
effingham,GA,0.797,0.203,1.194,32740,23.89
elbert,GA,0.693,0.228,1.328,14297,42.506
emanuel,GA,0.655,0.24,1.323,14866,82.323
evans,GA,0.642,0.0,1.434,6662,40.12
fannin,GA,0.419,0.0,1.251,29011,12.266
fayette,GA,0.839,0.799,1.094,48466,10.146
floyd,GA,0.733,0.537,1.293,49440,59.07
forsyth,GA,0.0,0.903,1.095,101904,6.946
franklin,GA,0.593,0.0,1.311,16671,22.63
fulton,GA,0.768,0.988,1.123,368756,18.391
gilmer,GA,0.445,0.195,1.325,35367,21.405
glascock,GA,0.558,0.0,1.262,2398,138.566
glynn,GA,0.682,0.743,1.21,44137,108.249
gordon,GA,0.716,0.323,1.189,28329,16.719
grady,GA,0.678,0.342,1.292,14354,48.214
greene,GA,0.622,0.0,1.265,17465,153.198
gwinnett,GA,0.788,0.993,1.083,300980,2.906
habersham,GA,0.705,0.287,1.226,23866,13.77
hall,GA,0.769,0.715,1.168,84566,6.719
hancock,GA,0.377,0.0,1.247,11004,72.164
haralson,GA,0.71,0.2,1.251,17054,26.923
harris,GA,0.735,0.024,1.22,20632,62.549
hart,GA,0.681,0.187,1.288,18365,23.02
heard,GA,0.701,0.0,1.279,6895,74.902
henry,GA,0.769,0.785,1.114,94981,6.447
houston,GA,0.774,0.869,1.148,68973,15.525
irwin,GA,0.664,0.0,1.478,7050,115.933
jackson,GA,0.762,0.325,1.221,41449,18.295
jasper,GA,0.663,0.0,1.215,10502,178.637
jeff-davis,GA,,0.273,1.258,8227,78.159
jefferson,GA,0.619,0.0,1.301,11957,129.117
jenkins,GA,0.617,0.0,1.455,6601,106.188
johnson,GA,0.68,0.0,1.3,5804,107.094
jones,GA,,0.14,1.254,15641,57.738
lamar,GA,0.75,0.257,1.177,9902,25.998
lanier,GA,0.686,0.0,1.394,5943,107.55
laurens,GA,0.649,0.348,1.299,29789,41.093
lee,GA,0.764,0.342,1.23,14980,90.334
liberty,GA,0.0,0.568,1.119,28191,41.484
lincoln,GA,0.534,0.0,1.368,8911,38.981
long,GA,0.731,0.145,1.198,8760,110.722
lowndes,GA,0.684,0.588,1.227,50924,71.942
lumpkin,GA,0.756,0.066,1.26,17807,33.562
macon,GA,0.593,0.0,1.361,8182,89.6
madison,GA,0.729,0.082,1.306,16817,26.091
marion,GA,0.596,0.0,1.334,5547,250.421
mcduffie,GA,0.727,0.342,1.289,12765,45.519
mcintosh,GA,0.457,0.0,1.286,13230,119.075
meriwether,GA,0.628,0.0,1.376,16584,75.283
miller,GA,0.731,0.0,1.415,4203,140.999
mitchell,GA,0.686,0.188,1.257,11913,59.9
monroe,GA,0.707,0.153,1.208,16589,37.221
montgomery,GA,0.566,0.01,1.336,6167,67.016
morgan,GA,0.732,0.186,1.317,12827,58.191
murray,GA,,0.291,1.249,18583,120.02
muscogee,GA,0.68,0.953,1.132,69913,4.566
newton,GA,0.742,0.616,1.159,47988,14.12
oconee,GA,0.826,0.429,1.238,19479,36.625
oglethorpe,GA,0.651,0.0,1.322,10327,85.749
paulding,GA,0.798,0.763,1.141,71025,10.253
peach,GA,0.721,0.542,1.2,14141,19.404
pickens,GA,0.681,0.143,1.227,21845,49.507
pierce,GA,0.749,0.008,1.358,12640,45.571
pike,GA,0.735,0.004,1.211,10167,36.381
polk,GA,,0.409,1.339,23768,31.383
pulaski,GA,0.598,0.0,1.275,6864,67.035
putnam,GA,,0.0,1.233,19190,22.146
quitman,GA,0.394,0.17,1.178,2897,139.034
rabun,GA,0.427,0.0,1.224,17718,335.691
randolph,GA,0.577,0.0,1.347,5586,167.367
richmond,GA,0.671,0.888,1.201,83557,15.357
rockdale,GA,0.757,0.825,1.144,37490,7.58
schley,GA,0.653,0.0,1.293,3082,75.118
screven,GA,0.672,0.0,1.37,10898,202.452
seminole,GA,0.603,0.0,1.359,7977,58.852
spalding,GA,0.72,0.51,1.271,33255,12.031
stephens,GA,0.682,0.333,1.274,17144,24.101
stewart,GA,0.529,0.0,1.455,4091,575.143
sumter,GA,0.631,0.442,1.299,16366,78.068
talbot,GA,0.455,0.0,1.375,6669,185.07
taliaferro,GA,0.364,0.0,1.234,2302,124.044
tattnall,GA,0.683,0.0,1.366,12982,59.32
taylor,GA,0.59,0.0,1.313,6346,111.365
telfair,GA,0.497,0.0,1.349,8905,83.495
terrell,GA,0.641,0.0,1.406,6547,137.662
thomas,GA,0.663,0.525,1.234,24688,58.516
tift,GA,0.657,0.514,1.304,19198,29.858
toombs,GA,0.676,0.439,1.403,16333,43.303
towns,GA,,0.0,1.275,14814,9.904
treutlen,GA,0.676,0.0,1.325,4339,63.489
troup,GA,0.709,0.464,1.303,35274,30.341
turner,GA,0.672,0.426,1.416,5741,247.042
twiggs,GA,0.598,0.0,1.324,7067,154.308
union,GA,0.522,0.0,1.209,24167,11.759
upson,GA,0.779,0.439,1.315,15957,34.079
walker,GA,0.752,0.455,1.199,34760,25.518
walton,GA,0.814,0.346,1.162,42219,13.193
ware,GA,0.581,0.642,1.354,23073,1462.805
warren,GA,0.524,0.0,1.33,4716,192.985
washington,GA,0.598,0.295,1.233,12966,78.127
wayne,GA,0.65,0.338,1.291,17855,445.995
webster,GA,0.545,0.0,1.323,2005,214.816
wheeler,GA,0.537,0.0,1.336,4103,140.636
white,GA,0.645,0.0,1.284,20205,59.431
whitfield,GA,0.743,0.586,1.321,45849,24.404
wilcox,GA,0.527,0.0,1.346,6146,111.899
wilkes,GA,,0.0,1.297,7816,125.493
wilkinson,GA,0.571,0.0,1.29,7641,85.554
worth,GA,0.687,0.243,1.34,12672,71.279
adair,KY,0.615,0.142,1.421,16000,47.435
allen,KY,0.59,0.159,1.208,14715,30.001
anderson,KY,0.864,0.482,1.257,12980,23.894
ballard,KY,0.511,0.0,1.322,7412,52.496
barren,KY,0.768,0.307,1.279,24448,49.698
bath,KY,0.741,0.0,1.335,7692,84.988
bell,KY,0.658,0.337,1.339,14508,40.758
boone,KY,0.858,0.848,1.17,54679,116.42
bourbon,KY,0.767,0.5,1.225,9522,141.864
boyd,KY,0.657,0.713,1.237,26760,10.281
boyle,KY,0.194,0.581,1.17,13182,19.51
bracken,KY,0.482,0.0,1.263,7277,35.389
breathitt,KY,0.475,0.0,1.152,9834,53.164
breckinridge,KY,0.333,0.0,1.215,24779,29.151
bullitt,KY,0.861,0.653,1.152,36798,20.272
butler,KY,0.583,0.0,1.215,9582,50.183
caldwell,KY,0.479,0.34,1.122,10923,29.68
calloway,KY,0.0,0.205,1.0,39260,6.025
campbell,KY,0.814,0.78,1.179,35851,6.967
carlisle,KY,0.547,0.0,1.222,4206,53.165
carroll,KY,0.543,0.347,1.174,6975,22.603
carter,KY,0.628,0.147,1.182,16873,25.237
casey,KY,0.589,0.0,1.222,11153,48.566
christian,KY,0.676,0.568,1.185,28754,33.031
clark,KY,0.861,0.644,1.239,17746,22.78
clay,KY,0.901,0.0,1.48,14703,832.742
clinton,KY,0.0,0.0,1.0,8502,15.097
crittenden,KY,0.604,0.0,1.523,8827,82.73
cumberland,KY,0.615,0.0,1.466,7244,82.192
daviess,KY,0.832,0.678,1.224,47737,19.693
edmonson,KY,0.406,0.0,1.184,12239,25.788
elliott,KY,0.634,0.0,1.394,5031,225.833
estill,KY,0.744,0.21,1.407,10209,41.62
fayette,KY,0.736,0.961,1.144,114901,8.203
fleming,KY,0.684,0.0,1.252,9715,44.424
floyd,KY,0.616,0.176,1.472,25435,487.931
franklin,KY,0.874,0.674,1.227,22621,15.544
fulton,KY,0.502,0.276,1.244,5549,58.306
gallatin,KY,0.611,0.0,1.415,5656,30.018
garrard,KY,0.0,0.0,1.0,10789,13.79
grant,KY,0.685,0.0,1.328,12994,27.72
graves,KY,0.614,0.252,1.381,30094,37.018
grayson,KY,0.503,0.123,1.718,32121,34.552
green,KY,0.58,0.0,1.251,9501,37.082
greenup,KY,0.568,0.494,1.139,22944,14.021
hancock,KY,0.661,0.082,1.244,5982,39.314
hardin,KY,0.701,0.547,1.18,48116,14.157
harlan,KY,0.39,0.183,1.296,18571,111.018
harrison,KY,0.626,0.26,1.126,10524,30.718
hart,KY,0.598,0.094,1.252,13703,39.177
henderson,KY,0.0,0.506,1.0,22664,12.279
henry,KY,0.696,0.0,1.32,9701,53.754
hickman,KY,0.595,0.0,1.413,4949,130.945
hopkins,KY,0.695,0.388,1.31,30072,33.751
jackson,KY,0.614,0.0,1.688,8691,10346.662
jefferson,KY,0.782,0.976,1.16,311462,18.134
jessamine,KY,0.759,0.659,1.181,22292,16.48
johnson,KY,0.615,0.202,1.368,13533,199.015
kenton,KY,0.838,0.907,1.133,63773,4.172
knott,KY,0.509,0.0,1.404,11292,124.372
knox,KY,0.466,0.269,1.155,16957,22.154
larue,KY,0.0,0.0,1.292,9998,44.593
laurel,KY,0.671,0.341,1.266,30776,170.277
lawrence,KY,0.615,0.158,1.339,11220,60.641
lee,KY,0.507,0.0,1.394,6255,63.329
leslie,KY,0.349,0.0,1.238,10163,325.218
letcher,KY,0.0,0.0,1.139,11971,19.367
lewis,KY,0.485,0.0,1.206,9541,53.414
lincoln,KY,0.752,0.001,1.36,15165,34.552
livingston,KY,0.482,0.036,1.21,8452,49.084
logan,KY,0.0,0.217,1.5,19605,79.357
lyon,KY,0.524,0.0,1.982,11283,10996.484
madison,KY,0.747,0.515,1.154,39123,12.998
magoffin,KY,0.669,0.0,1.568,9978,54.625
marion,KY,0.765,0.248,1.213,10691,46.806
marshall,KY,0.0,0.112,1.504,27999,18.322
martin,KY,0.569,0.0,1.366,7261,410.204
mason,KY,0.606,0.399,1.211,11665,25.229
mccracken,KY,0.602,0.679,1.133,38645,6.697
mccreary,KY,0.497,0.0,1.265,11059,754.947
